frame,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y
0,0.21931637823581696,0.6215948462486267,0.5101470351219177,0.725184440612793,0.45142897963523865,0.2704537510871887,0.4373343288898468,0.2703666090965271,0.3576834797859192,0.4598749279975891,0.5377307534217834,0.45628565549850464
1,0.49399492144584656,0.748559832572937,0.23597349226474762,0.5743337273597717,0.46702104806900024,0.2831905484199524,0.4342899024486542,0.2693995237350464,0.5205720663070679,0.48302024602890015,0.39345496892929077,0.4911678731441498
3,0.32220834493637085,0.5301011204719543,0.41281822323799133,0.7782362699508667,0.43735525012016296,0.3168518543243408,0.4528844654560089,0.29509684443473816,0.4751501977443695,0.4984357953071594,0.48293906450271606,0.5460178256034851
4,0.36107638478279114,0.5525566339492798,0.3725227117538452,0.7782253623008728,0.4375495910644531,0.32321423292160034,0.4516991674900055,0.3266620934009552,0.47995907068252563,0.5298042893409729,0.48284560441970825,0.5475971698760986
5,0.41739290952682495,0.5697241425514221,0.3231891989707947,0.7672287821769714,0.46002641320228577,0.33453696966171265,0.4416235089302063,0.3331793546676636,0.5464451909065247,0.5051689147949219,0.4228115677833557,0.5549881458282471
6,0.45609623193740845,0.6170334815979004,0.2736729681491852,0.7543309926986694,0.47939836978912354,0.332274854183197,0.4346739947795868,0.3293616473674774,0.5695836544036865,0.4679250419139862,0.37981778383255005,0.5534707307815552
7,0.5008136630058289,0.670741617679596,0.25476977229118347,0.7172096371650696,0.4894312024116516,0.3252876400947571,0.43779686093330383,0.3266441226005554,0.5766153931617737,0.46141037344932556,0.3658132553100586,0.52466881275177
8,0.5371142029762268,0.7088542580604553,0.24951858818531036,0.6467923521995544,0.4832441508769989,0.3137260377407074,0.46740642189979553,0.32185083627700806,0.5719683766365051,0.468581885099411,0.38388141989707947,0.5153355002403259
9,0.552409827709198,0.748748242855072,0.25598350167274475,0.5773080587387085,0.4947979152202606,0.3106690049171448,0.4786751866340637,0.31552210450172424,0.5622947812080383,0.48548832535743713,0.40596210956573486,0.5200221538543701
10,0.5300829410552979,0.7751734256744385,0.28381094336509705,0.5278701782226562,0.5095675587654114,0.36678463220596313,0.48884329199790955,0.3543507754802704,0.5540788173675537,0.5217647552490234,0.44740474224090576,0.5397589802742004
11,0.49513205885887146,0.7710039615631104,0.34831130504608154,0.5062686204910278,0.505114734172821,0.35612788796424866,0.48778119683265686,0.3418264389038086,0.5475638508796692,0.5449666380882263,0.5081567168235779,0.5512290000915527
12,0.452175498008728,0.7699068784713745,0.4036417305469513,0.5230326056480408,0.5017848610877991,0.35055819153785706,0.49416854977607727,0.33628523349761963,0.5275387167930603,0.5687562227249146,0.5471152663230896,0.5509353280067444
13,0.4116576313972473,0.7435400485992432,0.46200716495513916,0.56353759765625,0.5043470859527588,0.38091522455215454,0.5050269961357117,0.36068427562713623,0.47548121213912964,0.5758841633796692,0.5932719111442566,0.4979613125324249
14,0.5061547756195068,0.6219857931137085,0.4359494745731354,0.6989676356315613,0.5388523936271667,0.3423277735710144,0.4959102272987366,0.3582044243812561,0.6255708932876587,0.4721792936325073,0.46234026551246643,0.5239502787590027
15,0.5589221715927124,0.6513618230819702,0.36506563425064087,0.6784671545028687,0.5521480441093445,0.31387782096862793,0.49657878279685974,0.33342599868774414,0.6458560228347778,0.4441188871860504,0.4307531416416168,0.5119934678077698
16,0.4116274416446686,0.6778265237808228,0.5065415501594543,0.6762319803237915,0.5381109118461609,0.3109453320503235,0.5221366286277771,0.3065226376056671,0.4567984938621521,0.46971577405929565,0.6247952580451965,0.4607224464416504
17,0.3329176604747772,0.588987410068512,0.6249780654907227,0.7398684024810791,0.5312150716781616,0.3049534559249878,0.5468563437461853,0.3028676211833954,0.46469518542289734,0.4849945604801178,0.6299185156822205,0.4747636020183563
19,0.42820435762405396,0.5148553252220154,0.5605016350746155,0.7794460654258728,0.5544593334197998,0.311267226934433,0.5429471731185913,0.3075409531593323,0.5678302049636841,0.49975788593292236,0.5969619750976562,0.5319735407829285
20,0.4588010907173157,0.5160952806472778,0.5143287181854248,0.7764965891838074,0.5481874346733093,0.318057119846344,0.5430278778076172,0.3223917782306671,0.5889731049537659,0.5061032772064209,0.5826298594474792,0.5502803325653076
21,0.5185469388961792,0.5511379241943359,0.46119073033332825,0.7596514821052551,0.5517475008964539,0.32031527161598206,0.5421810150146484,0.32340288162231445,0.6392764449119568,0.4900931417942047,0.5474923849105835,0.5474462509155273
22,0.5423619747161865,0.5834764838218689,0.41011565923690796,0.7341064214706421,0.5644651055335999,0.3171441853046417,0.542322039604187,0.3225930333137512,0.6586683392524719,0.45254796743392944,0.5076316595077515,0.5465365648269653
23,0.5961122512817383,0.6303008198738098,0.3883052170276642,0.6955040097236633,0.5801246762275696,0.3126750588417053,0.543100118637085,0.32145214080810547,0.6672219634056091,0.4397553503513336,0.48358452320098877,0.5219233632087708
24,0.4941054880619049,0.6994966864585876,0.539601743221283,0.6553009152412415,0.5749687552452087,0.3078361749649048,0.5630724430084229,0.3116322159767151,0.5604646801948547,0.5091080069541931,0.5873613357543945,0.4612591862678528
25,0.6408988237380981,0.7315346002578735,0.367367684841156,0.5883433818817139,0.577238142490387,0.327970027923584,0.5613939762115479,0.3230957090854645,0.6329661011695862,0.504818320274353,0.5146911144256592,0.49604204297065735
26,0.6371666789054871,0.7636502385139465,0.3780997097492218,0.5358653664588928,0.5773757100105286,0.3470277190208435,0.5596975684165955,0.3373655080795288,0.6283897757530212,0.5194289088249207,0.5242782235145569,0.5277926921844482
27,0.6044155359268188,0.7807458639144897,0.41442033648490906,0.5064226984977722,0.5751921534538269,0.37037035822868347,0.5582268834114075,0.3639531433582306,0.6241267919540405,0.5478236079216003,0.5524330735206604,0.5586650967597961
28,0.5921519994735718,0.8014945983886719,0.45355987548828125,0.527240514755249,0.5626692175865173,0.3664821982383728,0.554730236530304,0.3639369308948517,0.5918411612510681,0.5697585344314575,0.5902138352394104,0.5700982213020325
29,0.5015726685523987,0.7946546673774719,0.48258787393569946,0.5917198061943054,0.5484322905540466,0.3618769645690918,0.5545444488525391,0.3660774528980255,0.5838817954063416,0.5871828198432922,0.6143296957015991,0.5610690116882324
30,0.4296031594276428,0.7785495519638062,0.5161010026931763,0.6034322381019592,0.5334506630897522,0.35650402307510376,0.5534572005271912,0.35963529348373413,0.5060641169548035,0.5813621282577515,0.6434053182601929,0.5101965665817261
31,0.48227614164352417,0.7503640651702881,0.41608989238739014,0.740734338760376,0.5419765114784241,0.3536969721317291,0.5451326370239258,0.35541993379592896,0.5364933609962463,0.566216766834259,0.5875700116157532,0.5141096115112305
32,0.37473514676094055,0.740646243095398,0.5918943285942078,0.7368102073669434,0.5296273231506348,0.3527333736419678,0.5454385280609131,0.3543184697628021,0.4589792490005493,0.5591256022453308,0.6408805251121521,0.5086435675621033
33,0.4098982512950897,0.7408317923545837,0.6218318343162537,0.774194061756134,0.536946713924408,0.3587053418159485,0.537483811378479,0.3564370572566986,0.5017270445823669,0.5613524913787842,0.6262205243110657,0.5164139270782471
34,0.5143600702285767,0.7745013236999512,0.5754751563072205,0.7350528836250305,0.5385488271713257,0.3681122958660126,0.5368427038192749,0.36025041341781616,0.529154360294342,0.5877669453620911,0.5846553444862366,0.55242520570755
35,0.3853006660938263,0.5981756448745728,0.589787483215332,0.8337024450302124,0.5341359972953796,0.391221284866333,0.5290882587432861,0.38650789856910706,0.5205028057098389,0.6018915176391602,0.5870042443275452,0.6227204203605652
36,0.4145125150680542,0.5834170579910278,0.5508778095245361,0.8571645617485046,0.5174282789230347,0.4040401577949524,0.5140038132667542,0.40451931953430176,0.5324211716651917,0.6050859093666077,0.5595076680183411,0.6223548054695129
37,0.45732733607292175,0.8416286110877991,0.4505118429660797,0.6197190880775452,0.5012732744216919,0.41681715846061707,0.5025606751441956,0.4164285361766815,0.5336825251579285,0.6271485686302185,0.5587419271469116,0.6155261397361755
38,0.4644145369529724,0.6530621647834778,0.4204019010066986,0.826147198677063,0.4956420063972473,0.40640613436698914,0.4934562146663666,0.407675564289093,0.5815724730491638,0.572658360004425,0.49272581934928894,0.6199589371681213
39,0.49685388803482056,0.6706792116165161,0.36905696988105774,0.8199476599693298,0.5026552677154541,0.4131523668766022,0.48481813073158264,0.417437344789505,0.5994321703910828,0.5380451083183289,0.4410427510738373,0.6293104290962219
40,0.5424395203590393,0.7161514759063721,0.3305875062942505,0.8012159466743469,0.4996177554130554,0.4114305377006531,0.485037624835968,0.4178485572338104,0.6023984551429749,0.5320068597793579,0.40875574946403503,0.6216651797294617
41,0.5697662830352783,0.7663334012031555,0.30574533343315125,0.763094425201416,0.4970930814743042,0.4099225103855133,0.4828275144100189,0.416631281375885,0.592717707157135,0.540069580078125,0.41340023279190063,0.6147950291633606
42,0.5792897939682007,0.8061785101890564,0.29514533281326294,0.6825451254844666,0.49676936864852905,0.41635650396347046,0.47838786244392395,0.41573426127433777,0.5853386521339417,0.5713692307472229,0.4309651553630829,0.6221800446510315
43,0.5644720196723938,0.8440260887145996,0.314697802066803,0.6205087900161743,0.48750194907188416,0.42693859338760376,0.48131391406059265,0.4230775535106659,0.5595072507858276,0.6016578674316406,0.448312371969223,0.635975182056427
